,Unnamed: 0,Close,High,Low,Open,time,volume,MA_20,MA_200,ATR,ExpMA,kelt_upper,kelt_lower
0,0,127.92,127.92,127.92,127.92,2002-05-07 04:00:00,1,,,,127.92,,
1,1,128.92,128.92,128.92,128.92,2002-05-08 04:00:00,1,,,,128.0152380952381,,
2,2,128.38,128.38,128.38,128.38,2002-05-09 04:00:00,1,,,,128.04997732426304,,
3,3,127.62,127.63,127.62,127.63,2002-05-10 04:00:00,2,,,,128.00902710290467,,
4,4,127.86,127.86,127.86,127.86,2002-05-13 04:00:00,1,,,,127.99483404548518,,
5,5,128.54,128.54,128.54,128.54,2002-05-14 04:00:00,1,,,,128.04675461258182,,
6,6,127.61,127.61,127.61,127.61,2002-05-15 04:00:00,1,,,,128.00515893519307,,
7,7,128.06,128.06,128.06,128.06,2002-05-16 04:00:00,1,,,,128.0103818937461,,
8,8,125.93,125.93,125.93,125.93,2002-05-17 04:00:00,1,,,,127.81225028481792,,
9,9,125.94,125.94,125.94,125.94,2002-05-19 04:00:00,1,,,0.0009999999999990906,127.63394073388288,127.63544073388287,127.63244073388289
10,10,125.4,125.4,125.4,125.4,2002-05-20 04:00:00,1,,,0.0009999999999990906,127.42118447351308,127.42268447351307,127.41968447351309
11,11,124.17,124.17,124.17,124.17,2002-05-21 04:00:00,1,,,0.0009999999999990906,127.11154785698803,127.11304785698802,127.11004785698803
12,12,124.22,124.22,124.22,124.22,2002-05-22 04:00:00,1,,,0.0009999999999990906,126.83616234679869,126.83766234679868,126.8346623467987
13,13,124.95,124.95,124.95,124.95,2002-05-23 04:00:00,1,,,0.0,126.65652783757977,126.65652783757977,126.65652783757977
14,14,124.85,124.85,124.72,124.72,2002-05-24 04:00:00,2,,,0.012999999999999545,126.48447756733408,126.50397756733408,126.46497756733409
15,15,124.755,124.755,124.755,124.755,2002-05-27 04:00:00,1,,,0.012999999999999545,126.31976541806416,126.33926541806416,126.30026541806417
16,16,124.58,124.58,124.58,124.58,2002-05-28 04:00:00,1,,,0.012999999999999545,126.15407347348663,126.17357347348663,126.13457347348664
17,17,124.45,124.45,124.45,124.45,2002-05-29 04:00:00,1,,,0.012999999999999545,125.991780761726,126.011280761726,125.97228076172601
18,18,123.4,123.4,123.4,123.4,2002-05-30 04:00:00,1,,,0.012999999999999545,125.74494449870447,125.76444449870446,125.72544449870448
19,19,124.2,124.2,124.2,124.2,2002-05-31 04:00:00,1,126.08774999999999,,0.012999999999999545,125.59780692739928,125.61730692739927,125.57830692739928
20,20,124.25,124.25,124.25,124.25,2002-06-02 04:00:00,1,125.90424999999998,,0.012999999999999545,125.46944436288506,125.48894436288505,125.44994436288506
21,21,123.61,123.61,123.61,123.61,2002-06-03 04:00:00,1,125.63874999999999,,0.012999999999999545,125.29235442356267,125.31185442356266,125.27285442356268
22,22,124.14,124.14,124.14,124.14,2002-06-04 04:00:00,1,125.42674999999997,,0.012999999999999545,125.18260638322337,125.20210638322337,125.16310638322338
23,23,124.4,124.4,124.4,124.4,2002-06-05 04:00:00,1,125.26574999999998,,0.012999999999999545,125.10807244196401,125.127572441964,125.08857244196402
24,24,124.09,124.09,124.09,124.09,2002-06-06 04:00:00,1,125.07724999999998,,0.0,125.01111316177696,125.01111316177696,125.01111316177696
25,25,124.38,124.38,124.38,124.38,2002-06-07 04:00:00,1,124.86925,,0.0,124.95100714636963,124.95100714636963,124.95100714636963
26,26,124.41,124.41,124.41,124.41,2002-06-09 04:00:00,1,124.70924999999997,,0.0,124.8994826562392,124.8994826562392,124.8994826562392
27,27,124.74,124.74,124.74,124.74,2002-06-10 04:00:00,1,124.54324999999997,,0.0,124.88429383183546,124.88429383183546,124.88429383183546
28,28,125.28,125.28,125.28,125.28,2002-06-11 04:00:00,1,124.51074999999999,,0.0,124.92198013356541,124.92198013356541,124.92198013356541
29,29,125.7,125.7,125.7,125.7,2002-06-12 04:00:00,1,124.49874999999997,,0.0,124.99607726370205,124.99607726370205,124.99607726370205
30,30,124.89,124.89,124.89,124.89,2002-06-13 04:00:00,1,124.47324999999996,,0.0,124.985974667159,124.985974667159,124.985974667159
31,31,124.15,124.15,124.15,124.15,2002-06-14 04:00:00,1,124.47224999999996,,0.0,124.90635803219148,124.90635803219148,124.90635803219148
32,32,124.09,124.09,124.09,124.09,2002-06-16 04:00:00,1,124.46574999999999,,0.0,124.82860964817324,124.82860964817324,124.82860964817324
33,33,124.35,124.35,124.35,124.35,2002-06-17 04:00:00,1,124.43574999999998,,0.0,124.78302777691864,124.78302777691864,124.78302777691864
34,34,124.37,124.37,124.37,124.37,2002-06-18 04:00:00,1,124.41174999999998,,0.0,124.74369179816449,124.74369179816449,124.74369179816449
35,35,123.92,123.92,123.92,123.92,2002-06-19 04:00:00,1,124.36999999999998,,0.0,124.66524496024407,124.66524496024407,124.66524496024407
36,36,123.48,123.48,123.48,123.48,2002-06-20 04:00:00,1,124.31499999999998,,0.0,124.55236448783988,124.55236448783988,124.55236448783988
37,37,121.39,121.39,121.39,121.39,2002-06-21 04:00:00,1,124.16199999999999,,0.0,124.25118691756943,124.25118691756943,124.25118691756943
38,38,121.39,121.39,121.39,121.39,2002-06-23 04:00:00,1,124.06149999999998,,0.0,123.97869292541996,123.97869292541996,123.97869292541996
39,39,121.875,121.875,121.875,121.875,2002-06-24 04:00:00,1,123.94524999999999,,0.0,123.77834121823712,123.77834121823712,123.77834121823712
40,40,121.35,121.35,121.35,121.35,2002-06-25 04:00:00,1,123.80024999999998,,0.0,123.54707062602405,123.54707062602405,123.54707062602405
41,41,120.05,120.05,120.05,120.05,2002-06-26 04:00:00,1,123.62224999999998,,0.0,123.21401628068843,123.21401628068843,123.21401628068843
42,42,119.56,119.56,119.56,119.56,2002-06-27 04:00:00,1,123.39325,,0.0,122.86601473014667,122.86601473014667,122.86601473014667
43,43,119.48,119.48,119.48,119.48,2002-06-28 04:00:00,1,123.14724999999999,,0.0,122.54353713679936,122.54353713679936,122.54353713679936
44,44,119.61,119.61,119.61,119.61,2002-06-30 04:00:00,1,122.92324999999998,,0.0,122.26415264758037,122.26415264758037,122.26415264758037
45,45,119.66,119.66,119.66,119.66,2002-07-01 04:00:00,1,122.68724999999998,,0.0,122.01613810971557,122.01613810971557,122.01613810971557
46,46,119.91,119.91,119.91,119.91,2002-07-02 04:00:00,1,122.46224999999997,,0.0,121.81555352783789,121.81555352783789,121.81555352783789
47,47,119.8,119.8,119.8,119.8,2002-07-03 04:00:00,1,122.21525,,0.0,121.62359604899618,121.62359604899618,121.62359604899618
48,48,119.97,119.97,119.97,119.97,2002-07-04 04:00:00,1,121.94974999999997,,0.0,121.46611071099653,121.46611071099653,121.46611071099653
49,49,120.39,120.39,120.39,120.39,2002-07-05 04:00:00,1,121.68424999999998,,0.0,121.36362397661591,121.36362397661591,121.36362397661591
50,50,120.05,120.05,120.05,120.05,2002-07-07 04:00:00,1,121.44224999999999,,0.0,121.23851693122393,121.23851693122393,121.23851693122393
51,51,118.39,118.39,118.39,118.39,2002-07-08 04:00:00,1,121.15424999999998,,0.0,120.96722960444069,120.96722960444069,120.96722960444069
52,52,118.035,118.035,118.035,118.035,2002-07-09 04:00:00,1,120.85149999999996,,0.0,120.687969642113,120.687969642113,120.687969642113
53,53,117.655,117.655,117.655,117.655,2002-07-10 04:00:00,1,120.51674999999997,,0.0,120.39911539048319,120.39911539048319,120.39911539048319
54,54,116.955,116.955,116.955,116.955,2002-07-11 04:00:00,1,120.14599999999999,,0.0,120.07110440091336,120.07110440091336,120.07110440091336
55,55,116.85,116.85,116.85,116.85,2002-07-12 04:00:00,1,119.79249999999998,,0.0,119.76433255320732,119.76433255320732,119.76433255320732
56,56,116.88,116.88,116.88,116.88,2002-07-14 04:00:00,1,119.46249999999998,,0.0,119.48963421480663,119.48963421480663,119.48963421480663
57,57,116.385,116.385,116.385,116.385,2002-07-15 04:00:00,1,119.21225,,0.0,119.19395476577742,119.19395476577742,119.19395476577742
58,58,115.945,115.945,115.945,115.945,2002-07-16 04:00:00,1,118.94000000000001,,0.0,118.88453050237004,118.88453050237004,118.88453050237004
59,59,116.325,116.325,116.325,116.325,2002-07-17 04:00:00,1,118.6625,,0.0,118.6407656926205,118.6407656926205,118.6407656926205
60,60,116.58,116.58,116.58,116.58,2002-07-18 04:00:00,1,118.424,,0.0,118.44450229332332,118.44450229332332,118.44450229332332
61,61,115.88,115.88,115.88,115.88,2002-07-19 04:00:00,1,118.21549999999999,,0.0,118.20026397967348,118.20026397967348,118.20026397967348
62,62,115.84,115.84,115.84,115.84,2002-07-21 04:00:00,1,118.02950000000001,,0.0,117.9754769339903,117.9754769339903,117.9754769339903
63,63,116.21,116.21,116.21,116.21,2002-07-22 04:00:00,1,117.86600000000001,,0.0,117.80733627361026,117.80733627361026,117.80733627361026
64,64,117.56,117.56,117.56,117.56,2002-07-23 04:00:00,1,117.7635,,0.0,117.78378043802833,117.78378043802833,117.78378043802833
65,65,116.74,116.74,116.74,116.74,2002-07-24 04:00:00,1,117.61749999999999,,0.0,117.68437277726373,117.68437277726373,117.68437277726373
66,66,116.4,116.4,116.4,116.4,2002-07-25 04:00:00,1,117.44200000000001,,0.0,117.56205156038148,117.56205156038148,117.56205156038148
67,67,118.81,118.81,118.81,118.81,2002-07-26 04:00:00,1,117.3925,,0.0,117.6809037927261,117.6809037927261,117.6809037927261
68,68,118.8,118.8,118.8,118.8,2002-07-28 04:00:00,1,117.33400000000002,,0.0,117.78748438389505,117.78748438389505,117.78748438389505
